feature,mean_std,mean_wt,mean_diff,t_stat,p_value,significant,category,model
DivInit,0.0031727226048643216,0.003257111691574272,8.438908670995017e-05,1.3731281741970986,0.17074479805502274,False,other,random_forest
ConvDebt,0.0014117369873947187,0.0013653473293593484,-4.6389658035370326e-05,-1.3239996363347937,0.18651782965296998,False,other,random_forest
RDIPO,0.001454624831444201,0.0014063086735316777,-4.831615791252361e-05,-1.2559774413218772,0.2101079467697261,False,other,random_forest
CashProd,9.043444621278674e-05,9.49612027047336e-05,4.526756491946862e-06,1.1843565812671955,0.2372156989846822,False,tradable,random_forest
Mom12m,0.00021685262864164895,0.0002236658647203918,6.813236078742814e-06,1.1119911670544806,0.2670382302320481,False,tradable,random_forest
DelCOL,1.1929705937185709e-05,1.0733103625419806e-05,-1.1966023117659036e-06,-1.050256637764069,0.2944510951513779,False,other,random_forest
grcapx,2.79118767123577e-05,2.6104396585989186e-05,-1.807480126368516e-06,-0.9705587947436388,0.3325551241645289,False,tradable,random_forest
ChInvIA,3.6709072134442236e-05,3.522195988176082e-05,-1.4871122526814116e-06,-0.8098494205682392,0.41867291910198534,False,tradable,random_forest
ChInv,0.00019653721593916818,0.00020178068231906817,5.2434663798999776e-06,0.7130993437531884,0.4763423185744119,False,tradable,random_forest
DivOmit,0.002190101276196851,0.0022353447834159547,4.524350721910352e-05,0.6842212647495302,0.4943671993834646,False,other,random_forest
Leverage,0.00014091377340369845,0.00014355811435417767,2.644340950479237e-06,0.5879494437260346,0.5570115108887771,False,other,random_forest
ChNWC,7.778991912326582e-06,7.543647650766469e-06,-2.353442615601138e-07,-0.3626317930815211,0.7171370124728823,False,other,random_forest
RoE,7.114158690590528e-05,7.188973571799093e-05,7.481488120856628e-07,0.2707350514675093,0.7867822372813134,False,tradable,random_forest
BetaLiquidityPS,1.5101957173219238e-05,1.517550716671929e-05,7.354999350005098e-08,0.06987483139357212,0.9443401515951583,False,illiquidity,random_forest
Tax,0.0002729769612817037,0.00027324527082817714,2.683095464735003e-07,0.032896452995815034,0.9737791837591188,False,other,random_forest
Investment,7.92050654364736e-06,7.93550112613515e-06,1.499458248779247e-08,0.021462145660984783,0.9828913631775609,False,tradable,random_forest
