yyyymm,R2,N_stocks,N_features
201407,0.9444782755951632,5689,143
201408,0.931546098205841,5695,143
201409,0.9273457487476426,5699,143
201410,0.9381215917779879,5718,143
201411,0.9301101749231134,5736,143
201412,0.9442223607368214,5747,143
201501,0.945334032225198,5736,143
201502,0.9427108227544684,5730,143
201503,0.9388130659847104,5724,143
201504,0.9425498608270262,5738,143
201505,0.9327307472370462,5751,143
201506,0.9252243801236173,5777,143
201507,0.9384983413822375,5799,143
201508,0.9380290735154075,5797,143
201509,0.9317516352826932,5777,143
201510,0.9434297977293591,5789,143
201511,0.9341782955759572,5787,143
201512,0.9434773511072108,5770,143
201601,0.9502900280557155,5752,143
201602,0.9489311900085123,5735,143
201603,0.9451331734362546,5722,143
201604,0.9426445877498053,5703,143
201605,0.9417882758306206,5702,143
201606,0.9326543723960037,5684,143
201607,0.9327465401936911,5684,143
201608,0.9354214229880243,5656,143
201609,0.918274313089652,5666,143
201610,0.933592844102316,5669,143
201611,0.9276843143068343,5684,143
201612,0.9293817895033262,5687,143
201701,0.9335394125118344,5685,143
201702,0.9373451204355707,5666,143
201703,0.9366166943830149,5666,143
201704,0.9353155136474803,5675,143
201705,0.9432674225565879,5671,143
201706,0.9329100886948376,5687,143
201707,0.9340453988607446,5708,143
201708,0.9426175561418355,5687,143
201709,0.9393486573824893,5675,143
201710,0.9355700943955046,5684,143
201711,0.928555117168402,5701,143
201712,0.9276508421591882,5704,143
201801,0.9308202944904757,5711,143
201802,0.9403603649081582,5717,143
201803,0.9318572035507872,5705,143
201804,0.9361047981372848,5708,143
201805,0.9389656735954814,5713,143
201806,0.9261048522860458,5738,143
201807,0.9344905770930814,5749,143
201808,0.934343635426683,5755,143
201809,0.934775940846322,5761,143
201810,0.9326850546595306,5771,143
201811,0.9336484972403748,5755,143
201812,0.9349066352833222,5741,143
201901,0.937968858313601,5724,143
201902,0.9385495842817264,5715,143
201903,0.931271466111843,5708,143
201904,0.9272707714387136,5728,143
201905,0.928460838606684,5753,143
201906,0.9326308336840389,5757,143
201907,0.9276674356113145,5777,143
201908,0.9354229586969359,5757,143
201909,0.9390341107124353,5761,143
201910,0.9364750469506389,5762,143
201911,0.938252908345481,5775,143
201912,0.9379223571202094,5776,143
202001,0.9291344596625397,5777,143
202002,0.9346146945969274,5786,143
202003,0.9343495458714307,5773,143
202004,0.929797605193836,5762,143
202005,0.9227356873091233,5747,143
202006,0.9172775863441953,5768,143
202007,0.9175639063188691,5792,143
202008,0.9204278969887716,5819,143
202009,0.9200625295506722,5856,143
202010,0.8912497287749088,5921,143
202011,0.9155727503697272,5975,143
202012,0.9029894190792984,6037,143
202101,0.919102170866082,6103,143
202102,0.9137628480099101,6160,143
202103,0.8870370114373918,6295,143
202104,0.8749364306333917,6440,143
202105,0.8773415999811348,6515,143
202106,0.890077585097343,6593,143
202107,0.8841069063453632,6681,143
202108,0.8978399810617388,6731,143
202109,0.9068669939637379,6772,143
202110,0.9020593191545351,6841,143
202111,0.908512222327944,6909,143
202112,0.9035313095284564,6995,143
202201,0.9133249878929991,7053,143
202202,0.9230257699968858,7076,143
202203,0.912250546071095,7093,143
202204,0.9108525111586215,7113,143
202205,0.9244048117024647,7116,143
202206,0.9134288038172363,7116,143
202207,0.9148553525886269,7104,143
202208,0.9060330392137609,7115,143
202209,0.9165972111399101,7100,143
202210,0.91946893880851,7092,143
202211,0.9179303661731618,7004,143
202212,0.9113598741450165,6974,143
202301,0.8992403767975662,6944,143
202302,0.907836392611006,6869,143
202303,0.9238766774680854,6866,143
202304,0.9108553800385536,6847,143
202305,0.914818807917396,6806,143
202306,0.9134314672190015,6782,143
202307,0.9160423684233908,6758,143
202308,0.9109413864795691,6748,143
202309,0.9177484428421118,6724,143
202310,0.9176668900593308,6703,143
202311,0.923925835070098,6653,143
202312,0.9229459573070333,6670,143
202401,0.9171833635485247,6657,143
202402,0.9157266881495894,6631,143
202403,0.9217552401582618,6620,143
202404,0.915205905336814,6612,143
202405,0.9172617238606952,6607,143
202406,0.9183522212647909,6590,143
202407,0.9188847990538562,6581,143
202408,0.917625316380276,6575,143
202409,0.9100666705704007,6602,143
202410,0.9128046435005248,6621,143
202411,0.9183575638634626,6606,143
